song name,band name,band members,genre,album name,album label,album release date,song length,position on album,lyrics writers,music writers,lyrics
Sweet Child o Mine,Guns N' Roses,Axl Rose,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,Axl Rose,Axl Rose,"""Sweet Child O' Mine""

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long I'd probably break down and cry

Whoa-oh-oh! Sweet child o' mine
Whoa, oh-oh-oh! Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me by

Whoa-oh-oh! Sweet child o' mine
Ooh, oh-oh-oh! Sweet love of mine

Oh yeah! Whoa-oh-oh-oh! Sweet child o' mine
Ooh-oh, oh, oh! Sweet love of mine
Whoa, oh-oh-oh! Sweet child o' mine, ooh yeah
Ooh! Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Ooh, where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now? Ah-ah-ah-ah-ah, wow
Where do we go?
Oh, where do we go now?
Oh, where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go now?
Now, now, now, now, now, now, now
Sweet child, sweet child o' mine "
Sweet Child o Mine,Guns N' Roses,Saul Hudson,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,,Saul Hudson,"""Sweet Child O' Mine""

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long I'd probably break down and cry

Whoa-oh-oh! Sweet child o' mine
Whoa, oh-oh-oh! Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me by

Whoa-oh-oh! Sweet child o' mine
Ooh, oh-oh-oh! Sweet love of mine

Oh yeah! Whoa-oh-oh-oh! Sweet child o' mine
Ooh-oh, oh, oh! Sweet love of mine
Whoa, oh-oh-oh! Sweet child o' mine, ooh yeah
Ooh! Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Ooh, where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now? Ah-ah-ah-ah-ah, wow
Where do we go?
Oh, where do we go now?
Oh, where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go now?
Now, now, now, now, now, now, now
Sweet child, sweet child o' mine "
Sweet Child o Mine,Guns N' Roses,Izzy Stradlin,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,,Izzy Stradlin,"""Sweet Child O' Mine""

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long I'd probably break down and cry

Whoa-oh-oh! Sweet child o' mine
Whoa, oh-oh-oh! Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me by

Whoa-oh-oh! Sweet child o' mine
Ooh, oh-oh-oh! Sweet love of mine

Oh yeah! Whoa-oh-oh-oh! Sweet child o' mine
Ooh-oh, oh, oh! Sweet love of mine
Whoa, oh-oh-oh! Sweet child o' mine, ooh yeah
Ooh! Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Ooh, where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now? Ah-ah-ah-ah-ah, wow
Where do we go?
Oh, where do we go now?
Oh, where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go now?
Now, now, now, now, now, now, now
Sweet child, sweet child o' mine "
Sweet Child o Mine,Guns N' Roses,Duff McKagan,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,,Duff McKagan,"""Sweet Child O' Mine""

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long I'd probably break down and cry

Whoa-oh-oh! Sweet child o' mine
Whoa, oh-oh-oh! Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me by

Whoa-oh-oh! Sweet child o' mine
Ooh, oh-oh-oh! Sweet love of mine

Oh yeah! Whoa-oh-oh-oh! Sweet child o' mine
Ooh-oh, oh, oh! Sweet love of mine
Whoa, oh-oh-oh! Sweet child o' mine, ooh yeah
Ooh! Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Ooh, where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now? Ah-ah-ah-ah-ah, wow
Where do we go?
Oh, where do we go now?
Oh, where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go now?
Now, now, now, now, now, now, now
Sweet child, sweet child o' mine "
Sweet Child o Mine,Guns N' Roses,Steven Adler,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,,Steven Adler,"""Sweet Child O' Mine""

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky (Sky)
Now and then when I see her face
She takes me away to that special place
And if I stared too long I'd probably break down and cry

Whoa-oh-oh! Sweet child o' mine
Whoa, oh-oh-oh! Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where as a child I'd hide
And pray for the thunder and the rain to quietly pass me by

Whoa-oh-oh! Sweet child o' mine
Ooh, oh-oh-oh! Sweet love of mine

Oh yeah! Whoa-oh-oh-oh! Sweet child o' mine
Ooh-oh, oh, oh! Sweet love of mine
Whoa, oh-oh-oh! Sweet child o' mine, ooh yeah
Ooh! Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go?
Where do we go now?
Oh, where do we go now?
Where do we go? (Sweet child)
Ooh, where do we go now?
Ay, ay, ay, ay, ay, ay, ay, ay
Where do we go now? Ah-ah-ah-ah-ah, wow
Where do we go?
Oh, where do we go now?
Oh, where do we go?
Where do we go now?
Where do we go?
Ooh, where do we go now?
Now, now, now, now, now, now, now
Sweet child, sweet child o' mine "
The Four Horsemen,Metallica,James Hetfield,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,07:13:00,2,'James Hetfield','James Hetfield',"""The Four Horsemen""

By the last breath of the fourth winds blow
Better raise your ears
The sound of hooves knock at your door
Lock up your wife and children now
It's time to wield the blade
For now you have got some company

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

You have been dying since the day you were born
You know it has all been planned
The quartet of deliverance rides
A sinner once a sinner twice
No need for confessions now
Cause now you have got the fight of your life

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

Time
Has taken its toll on you
The lines that crack your face
Famine
Your body it has torn through
Withered in every place
Pestilence
For what you have had to endure
And what you have put others through
Death
Deliverance for you for sure
Now there is nothing you can do

So gather round young warriors now
And saddle up your steeds
Killing scores with demon swords
Now is the death of doers of wrong
Swing the judgement hammer down
Safely inside armor blood guts and sweat

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die "
The Four Horsemen,Metallica,Kirk Hamett,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,07:13:00,2,,'Lars Ulrich',"""The Four Horsemen""

By the last breath of the fourth winds blow
Better raise your ears
The sound of hooves knock at your door
Lock up your wife and children now
It's time to wield the blade
For now you have got some company

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

You have been dying since the day you were born
You know it has all been planned
The quartet of deliverance rides
A sinner once a sinner twice
No need for confessions now
Cause now you have got the fight of your life

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

Time
Has taken its toll on you
The lines that crack your face
Famine
Your body it has torn through
Withered in every place
Pestilence
For what you have had to endure
And what you have put others through
Death
Deliverance for you for sure
Now there is nothing you can do

So gather round young warriors now
And saddle up your steeds
Killing scores with demon swords
Now is the death of doers of wrong
Swing the judgement hammer down
Safely inside armor blood guts and sweat

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die "
The Four Horsemen,Metallica,Robert Trujilo,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,07:13:00,2,,Dave Mustaine,"""The Four Horsemen""

By the last breath of the fourth winds blow
Better raise your ears
The sound of hooves knock at your door
Lock up your wife and children now
It's time to wield the blade
For now you have got some company

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

You have been dying since the day you were born
You know it has all been planned
The quartet of deliverance rides
A sinner once a sinner twice
No need for confessions now
Cause now you have got the fight of your life

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

Time
Has taken its toll on you
The lines that crack your face
Famine
Your body it has torn through
Withered in every place
Pestilence
For what you have had to endure
And what you have put others through
Death
Deliverance for you for sure
Now there is nothing you can do

So gather round young warriors now
And saddle up your steeds
Killing scores with demon swords
Now is the death of doers of wrong
Swing the judgement hammer down
Safely inside armor blood guts and sweat

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die "
The Four Horsemen,Metallica,Lars Ulrich,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,07:13:00,2,,,"""The Four Horsemen""

By the last breath of the fourth winds blow
Better raise your ears
The sound of hooves knock at your door
Lock up your wife and children now
It's time to wield the blade
For now you have got some company

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

You have been dying since the day you were born
You know it has all been planned
The quartet of deliverance rides
A sinner once a sinner twice
No need for confessions now
Cause now you have got the fight of your life

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die

Time
Has taken its toll on you
The lines that crack your face
Famine
Your body it has torn through
Withered in every place
Pestilence
For what you have had to endure
And what you have put others through
Death
Deliverance for you for sure
Now there is nothing you can do

So gather round young warriors now
And saddle up your steeds
Killing scores with demon swords
Now is the death of doers of wrong
Swing the judgement hammer down
Safely inside armor blood guts and sweat

The Horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the Four Horsemen ride
Or choose your fate and die "
The Unforgiven,Metallica,James Hetfield,Trash Metal,The Black Album,Elektra Records,1991-08-12,06:27:00,4,James Hetfield,James Hetfield,"""The Unforgiven""

New blood joins this earth,
And quickly he's subdued.
Through constant pained disgrace
The young boy learns their rules.

With time the child draws in.
This whipping boy done wrong.
Deprived of all his thoughts
The young man struggles on and on he's known
A vow unto his own,
That never from this day
His will they'll take away.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

They dedicate their lives
To running all of his.
He tries to please them all –
This bitter man he is.

Throughout his life the same –
He's battled constantly.
This fight he cannot win –
A tired man they see no longer cares.

The old man then prepares
To die regretfully –
That old man here is me.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

[Solo]

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven. "
The Unforgiven,Metallica,Kirk Hamett,Trash Metal,The Black Album,Elektra Records,1991-08-12,06:27:00,4,,Lars Ulrich,"""The Unforgiven""

New blood joins this earth,
And quickly he's subdued.
Through constant pained disgrace
The young boy learns their rules.

With time the child draws in.
This whipping boy done wrong.
Deprived of all his thoughts
The young man struggles on and on he's known
A vow unto his own,
That never from this day
His will they'll take away.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

They dedicate their lives
To running all of his.
He tries to please them all –
This bitter man he is.

Throughout his life the same –
He's battled constantly.
This fight he cannot win –
A tired man they see no longer cares.

The old man then prepares
To die regretfully –
That old man here is me.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

[Solo]

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven. "
The Unforgiven,Metallica,Robert Trujilo,Trash Metal,The Black Album,Elektra Records,1991-08-12,06:27:00,4,,Kirk Hammett,"""The Unforgiven""

New blood joins this earth,
And quickly he's subdued.
Through constant pained disgrace
The young boy learns their rules.

With time the child draws in.
This whipping boy done wrong.
Deprived of all his thoughts
The young man struggles on and on he's known
A vow unto his own,
That never from this day
His will they'll take away.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

They dedicate their lives
To running all of his.
He tries to please them all –
This bitter man he is.

Throughout his life the same –
He's battled constantly.
This fight he cannot win –
A tired man they see no longer cares.

The old man then prepares
To die regretfully –
That old man here is me.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

[Solo]

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven. "
The Unforgiven,Metallica,Lars Ulrich,Trash Metal,The Black Album,Elektra Records,1991-08-12,06:27:00,4,,,"""The Unforgiven""

New blood joins this earth,
And quickly he's subdued.
Through constant pained disgrace
The young boy learns their rules.

With time the child draws in.
This whipping boy done wrong.
Deprived of all his thoughts
The young man struggles on and on he's known
A vow unto his own,
That never from this day
His will they'll take away.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

They dedicate their lives
To running all of his.
He tries to please them all –
This bitter man he is.

Throughout his life the same –
He's battled constantly.
This fight he cannot win –
A tired man they see no longer cares.

The old man then prepares
To die regretfully –
That old man here is me.

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

[Solo]

What I've felt,
What I've known
Never shined through in what I've shown.
Never be.
Never see.
Won't see what might have been.

What I've felt,
What I've known
Never shined through in what I've shown.
Never free.
Never me.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven.

You labelled me,
I'll label you.
So I dub thee unforgiven.

Never free.
Never me.
So I dub thee unforgiven. "
(We Are) the Road Crew,Motorhead,Lemmy Kilmister,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:10:00,6,Lemmy Kilmister,Lemmy Kilmister,"""We Are The Road Crew""

Another town another place,
Another girl, another face,
Another truce, another race,
I'm eating junk, feeling bad,
Another night, I'm going mad,
My woman's leaving, I feel sad,
But I just love the life I lead,
Another beer is what I need,
Another gig my ears bleed,
We are the road crew

Another town I've left behind,
Another drink completely blind,
Another hotel I can't find,
Another backstage pass for you,
Another tube of super glue,
Another border to get through,
I'm driving like a maniac,
Driving my way to hell and back,
Another room a case to pack,
We are the road crew

Another hotel we can burn,
Another screw, another turn,
Another Europe map to learn,
Another truck stop on the way,
Another game I learn to play,
Another word I learn to say,
Another bloody customs post,
Another fucking foreign coast,
Another set of scars to boast,
We are the road crew"
(We Are) the Road Crew,Motorhead,Phil Campbell,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:10:00,6,,Eddie Clarke,"""We Are The Road Crew""

Another town another place,
Another girl, another face,
Another truce, another race,
I'm eating junk, feeling bad,
Another night, I'm going mad,
My woman's leaving, I feel sad,
But I just love the life I lead,
Another beer is what I need,
Another gig my ears bleed,
We are the road crew

Another town I've left behind,
Another drink completely blind,
Another hotel I can't find,
Another backstage pass for you,
Another tube of super glue,
Another border to get through,
I'm driving like a maniac,
Driving my way to hell and back,
Another room a case to pack,
We are the road crew

Another hotel we can burn,
Another screw, another turn,
Another Europe map to learn,
Another truck stop on the way,
Another game I learn to play,
Another word I learn to say,
Another bloody customs post,
Another fucking foreign coast,
Another set of scars to boast,
We are the road crew"
(We Are) the Road Crew,Motorhead,Mikkey Dee,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:10:00,6,,Phil Taylor,"""We Are The Road Crew""

Another town another place,
Another girl, another face,
Another truce, another race,
I'm eating junk, feeling bad,
Another night, I'm going mad,
My woman's leaving, I feel sad,
But I just love the life I lead,
Another beer is what I need,
Another gig my ears bleed,
We are the road crew

Another town I've left behind,
Another drink completely blind,
Another hotel I can't find,
Another backstage pass for you,
Another tube of super glue,
Another border to get through,
I'm driving like a maniac,
Driving my way to hell and back,
Another room a case to pack,
We are the road crew

Another hotel we can burn,
Another screw, another turn,
Another Europe map to learn,
Another truck stop on the way,
Another game I learn to play,
Another word I learn to say,
Another bloody customs post,
Another fucking foreign coast,
Another set of scars to boast,
We are the road crew"
